@relation 'mobile_price-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.RenameNominalValues-Rwifi-NYes:yes-weka.filters.unsupervised.attribute.RenameNominalValues-Rwifi-Nhas:yes, YES:yes, Has:yes-weka.filters.unsupervised.attribute.RenameNominalValues-Rwifi-Nnot:no, NO:no, No:no, Not:no-weka.filters.unsupervised.attribute.RenameNominalValues-Rthree_g-Nnot:no, NO:no, No:no, Not:no-weka.filters.unsupervised.attribute.RenameNominalValues-Rthree_g-NYes:yes, Has:yes, YES:yes, has:yes-weka.filters.unsupervised.attribute.RenameNominalValues-Rdual_sim-NYes:yes, Has:yes, YES:yes, has:yes-weka.filters.unsupervised.attribute.RenameNominalValues-Rdual_sim-NYes:yes, Has:yes, YES:yes, has:yes-weka.filters.unsupervised.attribute.RenameNominalValues-Rblue-NYes:yes, Has:yes, YES:yes, has:yes-weka.filters.unsupervised.attribute.RenameNominalValues-Rblue-NNo:no, NO:no, Not:no, not:no-weka.filters.unsupervised.attribute.RenameNominalValues-Rdual_sim-NNo:no, NO:no, Not:no, not:no-weka.filters.unsupervised.attribute.Discretize-B8-M-1.0-R10-precision6-weka.filters.unsupervised.attribute.RenameNominalValues-Rn_cores-N\'\\\'(-inf-1.875]\\\'\':1, \'\\\'(1.875-2.75]\\\'\':2, \'\\\'(2.75-3.625]\\\'\':3,  \'\\\'(3.625-4.5]\\\'\':4, \'\\\'(4.5-5.375]\\\'\':5, \'\\\'(5.375-6.25]\\\'\':6, \'\\\'(6.25-7.125]\\\'\':7, \'\\\'(7.125-inf)\\\'\':8-weka.filters.unsupervised.attribute.RenameNominalValues-Rn_cores-N\'\\\'(-inf-1.875]\\\'\':1, \'\\\'(1.875-2.75]\\\'\':2, \'\\\'(2.75-3.625]\\\'\':3,  \'\\\'(3.625-4.5]\\\'\':4, \'\\\'(4.5-5.375]\\\'\':5, \'\\\'(5.375-6.25]\\\'\':6, \'\\\'(6.25-7.125]\\\'\':7, \'\\\'(7.125-inf)\\\'\':8-weka.filters.unsupervised.attribute.RenameNominalValues-Rn_cores-N\'(-inf-1.875]\':1, \'(1.875-2.75]\':2, \'(2.75-3.625]\':3,  \'(3.625-4.5]\':4, \'(4.5-5.375]\':5, \'(5.375-6.25]\':6, \'(6.25-7.125]\':7, \'(7.125-inf)\':8-weka.filters.unsupervised.attribute.Discretize-B2-M-1.0-R6-precision6-weka.filters.unsupervised.attribute.Discretize-B2-M-1.0-R19-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-R1-20-precision6'

@attribute battery_power {'\'(-inf-650.7]\'','\'(650.7-800.4]\'','\'(800.4-950.1]\'','\'(950.1-1099.8]\'','\'(1099.8-1249.5]\'','\'(1249.5-1399.2]\'','\'(1399.2-1548.9]\'','\'(1548.9-1698.6]\'','\'(1698.6-1848.3]\'','\'(1848.3-inf)\''}
@attribute blue {no,yes}
@attribute clock_speed {'\'(-inf-0.75]\'','\'(0.75-1]\'','\'(1-1.25]\'','\'(1.25-1.5]\'','\'(1.5-1.75]\'','\'(1.75-2]\'','\'(2-2.25]\'','\'(2.25-2.5]\'','\'(2.5-2.75]\'','\'(2.75-inf)\''}
@attribute dual_sim {no,yes}
@attribute fc {'\'(-inf-1.9]\'','\'(1.9-3.8]\'','\'(3.8-5.7]\'','\'(5.7-7.6]\'','\'(7.6-9.5]\'','\'(9.5-11.4]\'','\'(11.4-13.3]\'','\'(13.3-15.2]\'','\'(15.2-17.1]\'','\'(17.1-inf)\''}
@attribute four_g {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute int_memory {'\'(-inf-8.2]\'','\'(8.2-14.4]\'','\'(14.4-20.6]\'','\'(20.6-26.8]\'','\'(26.8-33]\'','\'(33-39.2]\'','\'(39.2-45.4]\'','\'(45.4-51.6]\'','\'(51.6-57.8]\'','\'(57.8-inf)\''}
@attribute m_dep {'\'(-inf-0.19]\'','\'(0.19-0.28]\'','\'(0.28-0.37]\'','\'(0.37-0.46]\'','\'(0.46-0.55]\'','\'(0.55-0.64]\'','\'(0.64-0.73]\'','\'(0.73-0.82]\'','\'(0.82-0.91]\'','\'(0.91-inf)\''}
@attribute mobile_wt {'\'(-inf-92]\'','\'(92-104]\'','\'(104-116]\'','\'(116-128]\'','\'(128-140]\'','\'(140-152]\'','\'(152-164]\'','\'(164-176]\'','\'(176-188]\'','\'(188-inf)\''}
@attribute n_cores {1,2,3,4,5,6,7,8}
@attribute pc {'\'(-inf-2]\'','\'(2-4]\'','\'(4-6]\'','\'(6-8]\'','\'(8-10]\'','\'(10-12]\'','\'(12-14]\'','\'(14-16]\'','\'(16-18]\'','\'(18-inf)\''}
@attribute px_height {'\'(-inf-196]\'','\'(196-392]\'','\'(392-588]\'','\'(588-784]\'','\'(784-980]\'','\'(980-1176]\'','\'(1176-1372]\'','\'(1372-1568]\'','\'(1568-1764]\'','\'(1764-inf)\''}
@attribute px_width {'\'(-inf-649.8]\'','\'(649.8-799.6]\'','\'(799.6-949.4]\'','\'(949.4-1099.2]\'','\'(1099.2-1249]\'','\'(1249-1398.8]\'','\'(1398.8-1548.6]\'','\'(1548.6-1698.4]\'','\'(1698.4-1848.2]\'','\'(1848.2-inf)\''}
@attribute ram {'\'(-inf-630.2]\'','\'(630.2-1004.4]\'','\'(1004.4-1378.6]\'','\'(1378.6-1752.8]\'','\'(1752.8-2127]\'','\'(2127-2501.2]\'','\'(2501.2-2875.4]\'','\'(2875.4-3249.6]\'','\'(3249.6-3623.8]\'','\'(3623.8-inf)\''}
@attribute sc_h {'\'(-inf-6.4]\'','\'(6.4-7.8]\'','\'(7.8-9.2]\'','\'(9.2-10.6]\'','\'(10.6-12]\'','\'(12-13.4]\'','\'(13.4-14.8]\'','\'(14.8-16.2]\'','\'(16.2-17.6]\'','\'(17.6-inf)\''}
@attribute sc_w {'\'(-inf-1.8]\'','\'(1.8-3.6]\'','\'(3.6-5.4]\'','\'(5.4-7.2]\'','\'(7.2-9]\'','\'(9-10.8]\'','\'(10.8-12.6]\'','\'(12.6-14.4]\'','\'(14.4-16.2]\'','\'(16.2-inf)\''}
@attribute talk_time {'\'(-inf-3.8]\'','\'(3.8-5.6]\'','\'(5.6-7.4]\'','\'(7.4-9.2]\'','\'(9.2-11]\'','\'(11-12.8]\'','\'(12.8-14.6]\'','\'(14.6-16.4]\'','\'(16.4-18.2]\'','\'(18.2-inf)\''}
@attribute three_g {no,yes}
@attribute touch_screen {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute wifi {yes,no}
@attribute price_category numeric

@data
'\'(1698.6-1848.3]\'',no,'\'(2.25-2.5]\'',yes,'\'(7.6-9.5]\'','\'(0.5-inf)\'','\'(39.2-45.4]\'','\'(0.37-0.46]\'','\'(164-176]\'',7,'\'(10-12]\'','\'(392-588]\'','\'(649.8-799.6]\'','\'(2501.2-2875.4]\'','\'(10.6-12]\'','\'(1.8-3.6]\'','\'(9.2-11]\'',yes,'\'(-inf-0.5]\'',yes,0
'\'(1399.2-1548.9]\'',yes,'\'(1.5-1.75]\'',no,'\'(11.4-13.3]\'','\'(-inf-0.5]\'','\'(-inf-8.2]\'','\'(0.64-0.73]\'','\'(152-164]\'',7,'\'(16-18]\'','\'(196-392]\'','\'(799.6-949.4]\'','\'(2127-2501.2]\'','\'(14.8-16.2]\'','\'(5.4-7.2]\'','\'(5.6-7.4]\'',yes,'\'(0.5-inf)\'',yes,0
'\'(1848.3-inf)\'',no,'\'(-inf-0.75]\'',yes,'\'(1.9-3.8]\'','\'(0.5-inf)\'','\'(45.4-51.6]\'','\'(-inf-0.19]\'','\'(164-176]\'',8,'\'(18-inf)\'','\'(196-392]\'','\'(1249-1398.8]\'','\'(1378.6-1752.8]\'','\'(16.2-17.6]\'','\'(10.8-12.6]\'','\'(-inf-3.8]\'',yes,'\'(0.5-inf)\'',yes,0
'\'(950.1-1099.8]\'',yes,'\'(1.25-1.5]\'',yes,'\'(3.8-5.7]\'','\'(-inf-0.5]\'','\'(8.2-14.4]\'','\'(0.91-inf)\'','\'(104-116]\'',2,'\'(12-14]\'','\'(-inf-196]\'','\'(949.4-1099.2]\'','\'(1004.4-1378.6]\'','\'(7.8-9.2]\'','\'(7.2-9]\'','\'(9.2-11]\'',no,'\'(0.5-inf)\'',no,0
'\'(950.1-1099.8]\'',yes,'\'(2.25-2.5]\'',yes,'\'(1.9-3.8]\'','\'(0.5-inf)\'','\'(39.2-45.4]\'','\'(0.55-0.64]\'','\'(116-128]\'',8,'\'(14-16]\'','\'(392-588]\'','\'(1848.2-inf)\'','\'(-inf-630.2]\'','\'(14.8-16.2]\'','\'(12.6-14.4]\'','\'(9.2-11]\'',yes,'\'(-inf-0.5]\'',no,0
'\'(1548.9-1698.6]\'',yes,'\'(1.5-1.75]\'',no,'\'(3.8-5.7]\'','\'(0.5-inf)\'','\'(39.2-45.4]\'','\'(0.73-0.82]\'','\'(116-128]\'',3,'\'(8-10]\'','\'(196-392]\'','\'(799.6-949.4]\'','\'(3623.8-inf)\'','\'(13.4-14.8]\'','\'(9-10.8]\'','\'(7.4-9.2]\'',yes,'\'(-inf-0.5]\'',no,1
'\'(1548.9-1698.6]\'',no,'\'(-inf-0.75]\'',yes,'\'(1.9-3.8]\'','\'(0.5-inf)\'','\'(33-39.2]\'','\'(0.82-0.91]\'','\'(164-176]\'',4,'\'(4-6]\'','\'(392-588]\'','\'(1698.4-1848.2]\'','\'(3623.8-inf)\'','\'(17.6-inf)\'','\'(3.6-5.4]\'','\'(16.4-18.2]\'',yes,'\'(0.5-inf)\'',yes,1
'\'(1399.2-1548.9]\'',no,'\'(1.5-1.75]\'',no,'\'(5.7-7.6]\'','\'(-inf-0.5]\'','\'(-inf-8.2]\'','\'(0.64-0.73]\'','\'(128-140]\'',8,'\'(10-12]\'','\'(196-392]\'','\'(649.8-799.6]\'','\'(-inf-630.2]\'','\'(10.6-12]\'','\'(7.2-9]\'','\'(3.8-5.6]\'',yes,'\'(0.5-inf)\'',yes,0
'\'(650.7-800.4]\'',no,'\'(2.75-inf)\'',no,'\'(-inf-1.9]\'','\'(0.5-inf)\'','\'(14.4-20.6]\'','\'(-inf-0.19]\'','\'(152-164]\'',7,'\'(-inf-2]\'','\'(-inf-196]\'','\'(649.8-799.6]\'','\'(1004.4-1378.6]\'','\'(10.6-12]\'','\'(-inf-1.8]\'','\'(14.6-16.4]\'',yes,'\'(0.5-inf)\'',no,0
'\'(1698.6-1848.3]\'',yes,'\'(-inf-0.75]\'',yes,'\'(9.5-11.4]\'','\'(-inf-0.5]\'','\'(57.8-inf)\'','\'(0.28-0.37]\'','\'(92-104]\'',1,'\'(10-12]\'','\'(196-392]\'','\'(649.8-799.6]\'','\'(1378.6-1752.8]\'','\'(7.8-9.2]\'','\'(3.6-5.4]\'','\'(5.6-7.4]\'',no,'\'(-inf-0.5]\'',no,0
'\'(650.7-800.4]\'',no,'\'(-inf-0.75]\'',yes,'\'(-inf-1.9]\'','\'(-inf-0.5]\'','\'(45.4-51.6]\'','\'(0.64-0.73]\'','\'(-inf-92]\'',7,'\'(12-14]\'','\'(-inf-196]\'','\'(649.8-799.6]\'','\'(3623.8-inf)\'','\'(6.4-7.8]\'','\'(3.6-5.4]\'','\'(14.6-16.4]\'',no,'\'(-inf-0.5]\'',no,1
'\'(1848.3-inf)\'',no,'\'(2.75-inf)\'',yes,'\'(7.6-9.5]\'','\'(-inf-0.5]\'','\'(14.4-20.6]\'','\'(-inf-0.19]\'','\'(92-104]\'',5,'\'(8-10]\'','\'(588-784]\'','\'(1848.2-inf)\'','\'(3623.8-inf)\'','\'(7.8-9.2]\'','\'(5.4-7.2]\'','\'(16.4-18.2]\'',no,'\'(0.5-inf)\'',no,1
'\'(950.1-1099.8]\'',no,'\'(2.25-2.5]\'',yes,'\'(-inf-1.9]\'','\'(0.5-inf)\'','\'(39.2-45.4]\'','\'(0.91-inf)\'','\'(164-176]\'',3,'\'(2-4]\'','\'(784-980]\'','\'(1249-1398.8]\'','\'(1752.8-2127]\'','\'(-inf-6.4]\'','\'(1.8-3.6]\'','\'(5.6-7.4]\'',yes,'\'(0.5-inf)\'',no,0
'\'(800.4-950.1]\'',yes,'\'(-inf-0.75]\'',no,'\'(-inf-1.9]\'','\'(0.5-inf)\'','\'(57.8-inf)\'','\'(0.64-0.73]\'','\'(92-104]\'',4,'\'(-inf-2]\'','\'(196-392]\'','\'(949.4-1099.2]\'','\'(1378.6-1752.8]\'','\'(-inf-6.4]\'','\'(-inf-1.8]\'','\'(18.2-inf)\'',yes,'\'(0.5-inf)\'',no,0
'\'(1848.3-inf)\'',no,'\'(0.75-1]\'',no,'\'(-inf-1.9]\'','\'(-inf-0.5]\'','\'(20.6-26.8]\'','\'(0.73-0.82]\'','\'(104-116]\'',3,'\'(6-8]\'','\'(784-980]\'','\'(1249-1398.8]\'','\'(2127-2501.2]\'','\'(7.8-9.2]\'','\'(7.2-9]\'','\'(5.6-7.4]\'',no,'\'(-inf-0.5]\'',yes,0
'\'(1099.8-1249.5]\'',no,'\'(1-1.25]\'',no,'\'(7.6-9.5]\'','\'(-inf-0.5]\'','\'(-inf-8.2]\'','\'(0.55-0.64]\'','\'(116-128]\'',4,'\'(12-14]\'','\'(196-392]\'','\'(649.8-799.6]\'','\'(3249.6-3623.8]\'','\'(10.6-12]\'','\'(1.8-3.6]\'','\'(12.8-14.6]\'',yes,'\'(0.5-inf)\'',yes,0
'\'(1548.9-1698.6]\'',no,'\'(-inf-0.75]\'',no,'\'(-inf-1.9]\'','\'(0.5-inf)\'','\'(57.8-inf)\'','\'(0.73-0.82]\'','\'(152-164]\'',1,'\'(12-14]\'','\'(980-1176]\'','\'(1548.6-1698.4]\'','\'(3249.6-3623.8]\'','\'(17.6-inf)\'','\'(-inf-1.8]\'','\'(16.4-18.2]\'',yes,'\'(0.5-inf)\'',no,1
'\'(-inf-650.7]\'',no,'\'(2-2.25]\'',no,'\'(3.8-5.7]\'','\'(-inf-0.5]\'','\'(20.6-26.8]\'','\'(0.28-0.37]\'','\'(92-104]\'',4,'\'(16-18]\'','\'(392-588]\'','\'(-inf-649.8]\'','\'(630.2-1004.4]\'','\'(7.8-9.2]\'','\'(-inf-1.8]\'','\'(11-12.8]\'',no,'\'(-inf-0.5]\'',no,0
'\'(1548.9-1698.6]\'',no,'\'(-inf-0.75]\'',no,'\'(13.3-15.2]\'','\'(-inf-0.5]\'','\'(14.4-20.6]\'','\'(-inf-0.19]\'','\'(128-140]\'',4,'\'(14-16]\'','\'(588-784]\'','\'(1249-1398.8]\'','\'(3249.6-3623.8]\'','\'(14.8-16.2]\'','\'(1.8-3.6]\'','\'(-inf-3.8]\'',no,'\'(-inf-0.5]\'',yes,1
'\'(1548.9-1698.6]\'',yes,'\'(2-2.25]\'',yes,'\'(1.9-3.8]\'','\'(-inf-0.5]\'','\'(57.8-inf)\'','\'(-inf-0.19]\'','\'(116-128]\'',4,'\'(2-4]\'','\'(784-980]\'','\'(1848.2-inf)\'','\'(3623.8-inf)\'','\'(14.8-16.2]\'','\'(12.6-14.4]\'','\'(12.8-14.6]\'',yes,'\'(-inf-0.5]\'',yes,1
'\'(1399.2-1548.9]\'',yes,'\'(2.5-2.75]\'',no,'\'(1.9-3.8]\'','\'(0.5-inf)\'','\'(51.6-57.8]\'','\'(0.82-0.91]\'','\'(104-116]\'',6,'\'(2-4]\'','\'(392-588]\'','\'(1548.6-1698.4]\'','\'(-inf-630.2]\'','\'(10.6-12]\'','\'(1.8-3.6]\'','\'(5.6-7.4]\'',yes,'\'(-inf-0.5]\'',yes,0
'\'(1548.9-1698.6]\'',yes,'\'(-inf-0.75]\'',no,'\'(-inf-1.9]\'','\'(0.5-inf)\'','\'(33-39.2]\'','\'(-inf-0.19]\'','\'(92-104]\'',1,'\'(2-4]\'','\'(196-392]\'','\'(1249-1398.8]\'','\'(3623.8-inf)\'','\'(14.8-16.2]\'','\'(7.2-9]\'','\'(7.4-9.2]\'',yes,'\'(0.5-inf)\'',no,1
'\'(1249.5-1399.2]\'',yes,'\'(1.25-1.5]\'',yes,'\'(13.3-15.2]\'','\'(-inf-0.5]\'','\'(-inf-8.2]\'','\'(0.28-0.37]\'','\'(-inf-92]\'',5,'\'(16-18]\'','\'(784-980]\'','\'(1249-1398.8]\'','\'(-inf-630.2]\'','\'(13.4-14.8]\'','\'(5.4-7.2]\'','\'(9.2-11]\'',no,'\'(-inf-0.5]\'',yes,0
'\'(1399.2-1548.9]\'',no,'\'(-inf-0.75]\'',no,'\'(-inf-1.9]\'','\'(0.5-inf)\'','\'(39.2-45.4]\'','\'(0.64-0.73]\'','\'(140-152]\'',2,'\'(-inf-2]\'','\'(1764-inf)\'','\'(1848.2-inf)\'','\'(3623.8-inf)\'','\'(14.8-16.2]\'','\'(9-10.8]\'','\'(5.6-7.4]\'',yes,'\'(-inf-0.5]\'',yes,1
'\'(1548.9-1698.6]\'',yes,'\'(1.25-1.5]\'',no,'\'(-inf-1.9]\'','\'(-inf-0.5]\'','\'(26.8-33]\'','\'(0.19-0.28]\'','\'(140-152]\'',6,'\'(16-18]\'','\'(784-980]\'','\'(1398.8-1548.6]\'','\'(1378.6-1752.8]\'','\'(14.8-16.2]\'','\'(3.6-5.4]\'','\'(9.2-11]\'',yes,'\'(0.5-inf)\'',yes,0
'\'(1249.5-1399.2]\'',no,'\'(2.75-inf)\'',no,'\'(-inf-1.9]\'','\'(0.5-inf)\'','\'(39.2-45.4]\'','\'(0.28-0.37]\'','\'(188-inf)\'',4,'\'(2-4]\'','\'(784-980]\'','\'(949.4-1099.2]\'','\'(-inf-630.2]\'','\'(7.8-9.2]\'','\'(3.6-5.4]\'','\'(12.8-14.6]\'',yes,'\'(0.5-inf)\'',yes,0
'\'(950.1-1099.8]\'',yes,'\'(0.75-1]\'',yes,'\'(11.4-13.3]\'','\'(0.5-inf)\'','\'(-inf-8.2]\'','\'(0.64-0.73]\'','\'(140-152]\'',5,'\'(14-16]\'','\'(588-784]\'','\'(1249-1398.8]\'','\'(2501.2-2875.4]\'','\'(12-13.4]\'','\'(10.8-12.6]\'','\'(9.2-11]\'',yes,'\'(-inf-0.5]\'',yes,0
'\'(1548.9-1698.6]\'',yes,'\'(2.25-2.5]\'',yes,'\'(11.4-13.3]\'','\'(0.5-inf)\'','\'(26.8-33]\'','\'(0.28-0.37]\'','\'(164-176]\'',4,'\'(12-14]\'','\'(784-980]\'','\'(1398.8-1548.6]\'','\'(1752.8-2127]\'','\'(6.4-7.8]\'','\'(-inf-1.8]\'','\'(16.4-18.2]\'',yes,'\'(-inf-0.5]\'',no,0
'\'(1848.3-inf)\'',no,'\'(1.75-2]\'',no,'\'(-inf-1.9]\'','\'(-inf-0.5]\'','\'(14.4-20.6]\'','\'(0.73-0.82]\'','\'(176-188]\'',5,'\'(2-4]\'','\'(392-588]\'','\'(-inf-649.8]\'','\'(1004.4-1378.6]\'','\'(16.2-17.6]\'','\'(9-10.8]\'','\'(7.4-9.2]\'',no,'\'(-inf-0.5]\'',no,0
'\'(1099.8-1249.5]\'',no,'\'(1-1.25]\'',no,'\'(3.8-5.7]\'','\'(0.5-inf)\'','\'(45.4-51.6]\'','\'(0.55-0.64]\'','\'(104-116]\'',3,'\'(12-14]\'','\'(196-392]\'','\'(1698.4-1848.2]\'','\'(1752.8-2127]\'','\'(-inf-6.4]\'','\'(-inf-1.8]\'','\'(16.4-18.2]\'',yes,'\'(0.5-inf)\'',yes,0
'\'(650.7-800.4]\'',no,'\'(2.5-2.75]\'',no,'\'(5.7-7.6]\'','\'(-inf-0.5]\'','\'(14.4-20.6]\'','\'(0.28-0.37]\'','\'(164-176]\'',6,'\'(18-inf)\'','\'(588-784]\'','\'(799.6-949.4]\'','\'(1004.4-1378.6]\'','\'(7.8-9.2]\'','\'(-inf-1.8]\'','\'(16.4-18.2]\'',yes,'\'(-inf-0.5]\'',yes,0
'\'(1848.3-inf)\'',no,'\'(2.75-inf)\'',no,'\'(3.8-5.7]\'','\'(0.5-inf)\'','\'(26.8-33]\'','\'(0.91-inf)\'','\'(128-140]\'',1,'\'(8-10]\'','\'(-inf-196]\'','\'(1099.2-1249]\'','\'(3623.8-inf)\'','\'(-inf-6.4]\'','\'(-inf-1.8]\'','\'(-inf-3.8]\'',yes,'\'(0.5-inf)\'',yes,1
'\'(800.4-950.1]\'',yes,'\'(1.75-2]\'',yes,'\'(1.9-3.8]\'','\'(-inf-0.5]\'','\'(14.4-20.6]\'','\'(0.19-0.28]\'','\'(188-inf)\'',7,'\'(8-10]\'','\'(-inf-196]\'','\'(799.6-949.4]\'','\'(2875.4-3249.6]\'','\'(16.2-17.6]\'','\'(3.6-5.4]\'','\'(12.8-14.6]\'',yes,'\'(0.5-inf)\'',no,0
'\'(1848.3-inf)\'',no,'\'(2.75-inf)\'',yes,'\'(5.7-7.6]\'','\'(-inf-0.5]\'','\'(45.4-51.6]\'','\'(0.73-0.82]\'','\'(116-128]\'',8,'\'(8-10]\'','\'(980-1176]\'','\'(1249-1398.8]\'','\'(-inf-630.2]\'','\'(10.6-12]\'','\'(7.2-9]\'','\'(16.4-18.2]\'',no,'\'(0.5-inf)\'',no,0
'\'(1099.8-1249.5]\'',yes,'\'(2.25-2.5]\'',no,'\'(-inf-1.9]\'','\'(-inf-0.5]\'','\'(14.4-20.6]\'','\'(-inf-0.19]\'','\'(152-164]\'',5,'\'(-inf-2]\'','\'(784-980]\'','\'(949.4-1099.2]\'','\'(1752.8-2127]\'','\'(14.8-16.2]\'','\'(7.2-9]\'','\'(14.6-16.4]\'',yes,'\'(0.5-inf)\'',no,0
'\'(950.1-1099.8]\'',no,'\'(1.5-1.75]\'',no,'\'(3.8-5.7]\'','\'(-inf-0.5]\'','\'(33-39.2]\'','\'(0.55-0.64]\'','\'(128-140]\'',5,'\'(16-18]\'','\'(392-588]\'','\'(1548.6-1698.4]\'','\'(2501.2-2875.4]\'','\'(-inf-6.4]\'','\'(-inf-1.8]\'','\'(16.4-18.2]\'',yes,'\'(0.5-inf)\'',yes,0
'\'(1548.9-1698.6]\'',yes,'\'(-inf-0.75]\'',yes,'\'(9.5-11.4]\'','\'(-inf-0.5]\'','\'(-inf-8.2]\'','\'(0.91-inf)\'','\'(116-128]\'',3,'\'(10-12]\'','\'(392-588]\'','\'(1548.6-1698.4]\'','\'(3623.8-inf)\'','\'(6.4-7.8]\'','\'(3.6-5.4]\'','\'(16.4-18.2]\'',no,'\'(-inf-0.5]\'',no,1
'\'(1249.5-1399.2]\'',no,'\'(-inf-0.75]\'',no,'\'(11.4-13.3]\'','\'(-inf-0.5]\'','\'(26.8-33]\'','\'(0.73-0.82]\'','\'(176-188]\'',2,'\'(18-inf)\'','\'(-inf-196]\'','\'(-inf-649.8]\'','\'(2127-2501.2]\'','\'(6.4-7.8]\'','\'(3.6-5.4]\'','\'(14.6-16.4]\'',yes,'\'(-inf-0.5]\'',yes,0
'\'(1848.3-inf)\'',yes,'\'(1.5-1.75]\'',yes,'\'(-inf-1.9]\'','\'(0.5-inf)\'','\'(26.8-33]\'','\'(0.37-0.46]\'','\'(164-176]\'',3,'\'(-inf-2]\'','\'(980-1176]\'','\'(1099.2-1249]\'','\'(2127-2501.2]\'','\'(-inf-6.4]\'','\'(-inf-1.8]\'','\'(12.8-14.6]\'',yes,'\'(-inf-0.5]\'',no,0
'\'(800.4-950.1]\'',no,'\'(1.25-1.5]\'',yes,'\'(1.9-3.8]\'','\'(-inf-0.5]\'','\'(33-39.2]\'','\'(-inf-0.19]\'','\'(92-104]\'',2,'\'(2-4]\'','\'(392-588]\'','\'(-inf-649.8]\'','\'(3623.8-inf)\'','\'(12-13.4]\'','\'(1.8-3.6]\'','\'(9.2-11]\'',yes,'\'(-inf-0.5]\'',no,1
'\'(1249.5-1399.2]\'',yes,'\'(-inf-0.75]\'',yes,'\'(-inf-1.9]\'','\'(-inf-0.5]\'','\'(51.6-57.8]\'','\'(-inf-0.19]\'','\'(92-104]\'',8,'\'(14-16]\'','\'(392-588]\'','\'(649.8-799.6]\'','\'(1004.4-1378.6]\'','\'(6.4-7.8]\'','\'(-inf-1.8]\'','\'(18.2-inf)\'',no,'\'(-inf-0.5]\'',yes,0
'\'(1698.6-1848.3]\'',yes,'\'(2.25-2.5]\'',no,'\'(15.2-17.1]\'','\'(0.5-inf)\'','\'(26.8-33]\'','\'(0.55-0.64]\'','\'(164-176]\'',6,'\'(16-18]\'','\'(1176-1372]\'','\'(1398.8-1548.6]\'','\'(3249.6-3623.8]\'','\'(16.2-17.6]\'','\'(5.4-7.2]\'','\'(12.8-14.6]\'',yes,'\'(-inf-0.5]\'',yes,1
'\'(1548.9-1698.6]\'',yes,'\'(0.75-1]\'',yes,'\'(-inf-1.9]\'','\'(0.5-inf)\'','\'(-inf-8.2]\'','\'(0.91-inf)\'','\'(104-116]\'',7,'\'(-inf-2]\'','\'(588-784]\'','\'(1249-1398.8]\'','\'(630.2-1004.4]\'','\'(7.8-9.2]\'','\'(7.2-9]\'','\'(-inf-3.8]\'',yes,'\'(-inf-0.5]\'',yes,0
'\'(1399.2-1548.9]\'',no,'\'(2-2.25]\'',no,'\'(-inf-1.9]\'','\'(0.5-inf)\'','\'(26.8-33]\'','\'(0.55-0.64]\'','\'(164-176]\'',7,'\'(4-6]\'','\'(588-784]\'','\'(1548.6-1698.4]\'','\'(630.2-1004.4]\'','\'(17.6-inf)\'','\'(12.6-14.4]\'','\'(7.4-9.2]\'',yes,'\'(0.5-inf)\'',yes,0
'\'(1548.9-1698.6]\'',yes,'\'(1.25-1.5]\'',no,'\'(-inf-1.9]\'','\'(-inf-0.5]\'','\'(26.8-33]\'','\'(0.28-0.37]\'','\'(116-128]\'',2,'\'(-inf-2]\'','\'(392-588]\'','\'(799.6-949.4]\'','\'(-inf-630.2]\'','\'(7.8-9.2]\'','\'(1.8-3.6]\'','\'(7.4-9.2]\'',yes,'\'(0.5-inf)\'',yes,0
'\'(1698.6-1848.3]\'',yes,'\'(-inf-0.75]\'',no,'\'(-inf-1.9]\'','\'(-inf-0.5]\'','\'(14.4-20.6]\'','\'(0.64-0.73]\'','\'(152-164]\'',1,'\'(-inf-2]\'','\'(-inf-196]\'','\'(649.8-799.6]\'','\'(1004.4-1378.6]\'','\'(14.8-16.2]\'','\'(5.4-7.2]\'','\'(9.2-11]\'',no,'\'(0.5-inf)\'',yes,0
'\'(1249.5-1399.2]\'',yes,'\'(1.75-2]\'',yes,'\'(1.9-3.8]\'','\'(0.5-inf)\'','\'(20.6-26.8]\'','\'(0.19-0.28]\'','\'(116-128]\'',7,'\'(8-10]\'','\'(784-980]\'','\'(1249-1398.8]\'','\'(2127-2501.2]\'','\'(10.6-12]\'','\'(10.8-12.6]\'','\'(9.2-11]\'',yes,'\'(-inf-0.5]\'',yes,0
'\'(-inf-650.7]\'',yes,'\'(-inf-0.75]\'',yes,'\'(5.7-7.6]\'','\'(-inf-0.5]\'','\'(14.4-20.6]\'','\'(0.82-0.91]\'','\'(-inf-92]\'',3,'\'(14-16]\'','\'(196-392]\'','\'(1848.2-inf)\'','\'(2501.2-2875.4]\'','\'(17.6-inf)\'','\'(12.6-14.4]\'','\'(14.6-16.4]\'',no,'\'(0.5-inf)\'',yes,0
'\'(-inf-650.7]\'',no,'\'(2-2.25]\'',no,'\'(-inf-1.9]\'','\'(-inf-0.5]\'','\'(57.8-inf)\'','\'(0.64-0.73]\'','\'(176-188]\'',5,'\'(4-6]\'','\'(784-980]\'','\'(1548.6-1698.4]\'','\'(2501.2-2875.4]\'','\'(17.6-inf)\'','\'(16.2-inf)\'','\'(7.4-9.2]\'',no,'\'(-inf-0.5]\'',yes,0
