@relation 'mobile_price-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.RenameNominalValues-Rwifi-NYes:yes-weka.filters.unsupervised.attribute.RenameNominalValues-Rwifi-Nhas:yes, YES:yes, Has:yes-weka.filters.unsupervised.attribute.RenameNominalValues-Rwifi-Nnot:no, NO:no, No:no, Not:no-weka.filters.unsupervised.attribute.RenameNominalValues-Rthree_g-Nnot:no, NO:no, No:no, Not:no-weka.filters.unsupervised.attribute.RenameNominalValues-Rthree_g-NYes:yes, Has:yes, YES:yes, has:yes-weka.filters.unsupervised.attribute.RenameNominalValues-Rdual_sim-NYes:yes, Has:yes, YES:yes, has:yes-weka.filters.unsupervised.attribute.RenameNominalValues-Rdual_sim-NYes:yes, Has:yes, YES:yes, has:yes-weka.filters.unsupervised.attribute.RenameNominalValues-Rblue-NYes:yes, Has:yes, YES:yes, has:yes-weka.filters.unsupervised.attribute.RenameNominalValues-Rblue-NNo:no, NO:no, Not:no, not:no-weka.filters.unsupervised.attribute.RenameNominalValues-Rdual_sim-NNo:no, NO:no, Not:no, not:no-weka.filters.unsupervised.attribute.Discretize-B8-M-1.0-R10-precision6-weka.filters.unsupervised.attribute.RenameNominalValues-Rn_cores-N\'\\\'(-inf-1.875]\\\'\':1, \'\\\'(1.875-2.75]\\\'\':2, \'\\\'(2.75-3.625]\\\'\':3,  \'\\\'(3.625-4.5]\\\'\':4, \'\\\'(4.5-5.375]\\\'\':5, \'\\\'(5.375-6.25]\\\'\':6, \'\\\'(6.25-7.125]\\\'\':7, \'\\\'(7.125-inf)\\\'\':8-weka.filters.unsupervised.attribute.RenameNominalValues-Rn_cores-N\'\\\'(-inf-1.875]\\\'\':1, \'\\\'(1.875-2.75]\\\'\':2, \'\\\'(2.75-3.625]\\\'\':3,  \'\\\'(3.625-4.5]\\\'\':4, \'\\\'(4.5-5.375]\\\'\':5, \'\\\'(5.375-6.25]\\\'\':6, \'\\\'(6.25-7.125]\\\'\':7, \'\\\'(7.125-inf)\\\'\':8-weka.filters.unsupervised.attribute.RenameNominalValues-Rn_cores-N\'(-inf-1.875]\':1, \'(1.875-2.75]\':2, \'(2.75-3.625]\':3,  \'(3.625-4.5]\':4, \'(4.5-5.375]\':5, \'(5.375-6.25]\':6, \'(6.25-7.125]\':7, \'(7.125-inf)\':8-weka.filters.unsupervised.attribute.Discretize-B2-M-1.0-R6-precision6-weka.filters.unsupervised.attribute.Discretize-B2-M-1.0-R19-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-R1-20-precision6-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-P-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-P-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-P-weka.filters.unsupervised.attribute.Remove-R22-25-weka.filters.unsupervised.attribute.InterquartileRange-R1-20-O3.0-E6.0-P-weka.filters.unsupervised.attribute.InterquartileRange-R1-20-O3.0-E6.0-P-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-P-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.attribute.Remove-R22-23-weka.filters.unsupervised.attribute.RenameNominalValues-Rfour_g-N\'(-inf-0.5)\': no, \'(0.5-inf)\':yes-weka.filters.unsupervised.attribute.RenameNominalValues-Rfour_g-N\'(-inf-0.5]\': no, \'(0.5-inf)\':yes-weka.filters.unsupervised.attribute.RenameNominalValues-Rfour_g-N\'(-inf-0.5]\': no, \'(0.5-inf)\':yes-weka.filters.unsupervised.attribute.RenameNominalValues-Rtouch_screen-N\'(-inf-0.5]\': no, \'(0.5-inf)\':yes_clustered'

@attribute Instance_number numeric
@attribute battery_power {'\'(-inf-650.7]\'','\'(650.7-800.4]\'','\'(800.4-950.1]\'','\'(950.1-1099.8]\'','\'(1099.8-1249.5]\'','\'(1249.5-1399.2]\'','\'(1399.2-1548.9]\'','\'(1548.9-1698.6]\'','\'(1698.6-1848.3]\'','\'(1848.3-inf)\''}
@attribute blue {no,yes}
@attribute clock_speed {'\'(-inf-0.75]\'','\'(0.75-1]\'','\'(1-1.25]\'','\'(1.25-1.5]\'','\'(1.5-1.75]\'','\'(1.75-2]\'','\'(2-2.25]\'','\'(2.25-2.5]\'','\'(2.5-2.75]\'','\'(2.75-inf)\''}
@attribute dual_sim {no,yes}
@attribute fc {'\'(-inf-1.9]\'','\'(1.9-3.8]\'','\'(3.8-5.7]\'','\'(5.7-7.6]\'','\'(7.6-9.5]\'','\'(9.5-11.4]\'','\'(11.4-13.3]\'','\'(13.3-15.2]\'','\'(15.2-17.1]\'','\'(17.1-inf)\''}
@attribute four_g {no,yes}
@attribute int_memory {'\'(-inf-8.2]\'','\'(8.2-14.4]\'','\'(14.4-20.6]\'','\'(20.6-26.8]\'','\'(26.8-33]\'','\'(33-39.2]\'','\'(39.2-45.4]\'','\'(45.4-51.6]\'','\'(51.6-57.8]\'','\'(57.8-inf)\''}
@attribute m_dep {'\'(-inf-0.19]\'','\'(0.19-0.28]\'','\'(0.28-0.37]\'','\'(0.37-0.46]\'','\'(0.46-0.55]\'','\'(0.55-0.64]\'','\'(0.64-0.73]\'','\'(0.73-0.82]\'','\'(0.82-0.91]\'','\'(0.91-inf)\''}
@attribute mobile_wt {'\'(-inf-92]\'','\'(92-104]\'','\'(104-116]\'','\'(116-128]\'','\'(128-140]\'','\'(140-152]\'','\'(152-164]\'','\'(164-176]\'','\'(176-188]\'','\'(188-inf)\''}
@attribute n_cores {1,2,3,4,5,6,7,8}
@attribute pc {'\'(-inf-2]\'','\'(2-4]\'','\'(4-6]\'','\'(6-8]\'','\'(8-10]\'','\'(10-12]\'','\'(12-14]\'','\'(14-16]\'','\'(16-18]\'','\'(18-inf)\''}
@attribute px_height {'\'(-inf-196]\'','\'(196-392]\'','\'(392-588]\'','\'(588-784]\'','\'(784-980]\'','\'(980-1176]\'','\'(1176-1372]\'','\'(1372-1568]\'','\'(1568-1764]\'','\'(1764-inf)\''}
@attribute px_width {'\'(-inf-649.8]\'','\'(649.8-799.6]\'','\'(799.6-949.4]\'','\'(949.4-1099.2]\'','\'(1099.2-1249]\'','\'(1249-1398.8]\'','\'(1398.8-1548.6]\'','\'(1548.6-1698.4]\'','\'(1698.4-1848.2]\'','\'(1848.2-inf)\''}
@attribute ram {'\'(-inf-630.2]\'','\'(630.2-1004.4]\'','\'(1004.4-1378.6]\'','\'(1378.6-1752.8]\'','\'(1752.8-2127]\'','\'(2127-2501.2]\'','\'(2501.2-2875.4]\'','\'(2875.4-3249.6]\'','\'(3249.6-3623.8]\'','\'(3623.8-inf)\''}
@attribute sc_h {'\'(-inf-6.4]\'','\'(6.4-7.8]\'','\'(7.8-9.2]\'','\'(9.2-10.6]\'','\'(10.6-12]\'','\'(12-13.4]\'','\'(13.4-14.8]\'','\'(14.8-16.2]\'','\'(16.2-17.6]\'','\'(17.6-inf)\''}
@attribute sc_w {'\'(-inf-1.8]\'','\'(1.8-3.6]\'','\'(3.6-5.4]\'','\'(5.4-7.2]\'','\'(7.2-9]\'','\'(9-10.8]\'','\'(10.8-12.6]\'','\'(12.6-14.4]\'','\'(14.4-16.2]\'','\'(16.2-inf)\''}
@attribute talk_time {'\'(-inf-3.8]\'','\'(3.8-5.6]\'','\'(5.6-7.4]\'','\'(7.4-9.2]\'','\'(9.2-11]\'','\'(11-12.8]\'','\'(12.8-14.6]\'','\'(14.6-16.4]\'','\'(16.4-18.2]\'','\'(18.2-inf)\''}
@attribute three_g {no,yes}
@attribute touch_screen {no,yes}
@attribute wifi {yes,no}
@attribute price_category {0,1}
@attribute Cluster {cluster0,cluster1}

@data
964,'\'(-inf-650.7]\'',no,'\'(1.75-2]\'',yes,'\'(3.8-5.7]\'',no,'\'(-inf-8.2]\'','\'(0.91-inf)\'','\'(-inf-92]\'',5,'\'(18-inf)\'','\'(784-980]\'','\'(1848.2-inf)\'','\'(2875.4-3249.6]\'','\'(7.8-9.2]\'','\'(5.4-7.2]\'','\'(3.8-5.6]\'',no,no,yes,0,cluster1
965,'\'(1249.5-1399.2]\'',no,'\'(-inf-0.75]\'',yes,'\'(-inf-1.9]\'',no,'\'(14.4-20.6]\'','\'(0.28-0.37]\'','\'(128-140]\'',8,'\'(16-18]\'','\'(196-392]\'','\'(649.8-799.6]\'','\'(3623.8-inf)\'','\'(10.6-12]\'','\'(1.8-3.6]\'','\'(18.2-inf)\'',no,yes,yes,1,cluster0
966,'\'(1848.3-inf)\'',yes,'\'(1.5-1.75]\'',no,'\'(-inf-1.9]\'',no,'\'(33-39.2]\'','\'(0.55-0.64]\'','\'(104-116]\'',2,'\'(-inf-2]\'','\'(980-1176]\'','\'(1249-1398.8]\'','\'(-inf-630.2]\'','\'(7.8-9.2]\'','\'(3.6-5.4]\'','\'(9.2-11]\'',no,no,yes,0,cluster0
967,'\'(1698.6-1848.3]\'',no,'\'(1.75-2]\'',yes,'\'(-inf-1.9]\'',yes,'\'(8.2-14.4]\'','\'(0.46-0.55]\'','\'(152-164]\'',8,'\'(-inf-2]\'','\'(784-980]\'','\'(949.4-1099.2]\'','\'(-inf-630.2]\'','\'(7.8-9.2]\'','\'(1.8-3.6]\'','\'(-inf-3.8]\'',yes,yes,yes,0,cluster0
968,'\'(1848.3-inf)\'',no,'\'(-inf-0.75]\'',yes,'\'(5.7-7.6]\'',no,'\'(45.4-51.6]\'','\'(0.46-0.55]\'','\'(188-inf)\'',1,'\'(8-10]\'','\'(588-784]\'','\'(1698.4-1848.2]\'','\'(1378.6-1752.8]\'','\'(9.2-10.6]\'','\'(7.2-9]\'','\'(-inf-3.8]\'',yes,yes,yes,0,cluster0
969,'\'(1249.5-1399.2]\'',yes,'\'(2.75-inf)\'',no,'\'(5.7-7.6]\'',yes,'\'(33-39.2]\'','\'(-inf-0.19]\'','\'(152-164]\'',3,'\'(10-12]\'','\'(392-588]\'','\'(1398.8-1548.6]\'','\'(1004.4-1378.6]\'','\'(7.8-9.2]\'','\'(1.8-3.6]\'','\'(14.6-16.4]\'',yes,no,no,0,cluster1
970,'\'(800.4-950.1]\'',no,'\'(1.5-1.75]\'',yes,'\'(3.8-5.7]\'',yes,'\'(8.2-14.4]\'','\'(0.19-0.28]\'','\'(92-104]\'',8,'\'(8-10]\'','\'(-inf-196]\'','\'(649.8-799.6]\'','\'(1752.8-2127]\'','\'(6.4-7.8]\'','\'(-inf-1.8]\'','\'(-inf-3.8]\'',yes,no,yes,0,cluster0
971,'\'(1099.8-1249.5]\'',no,'\'(1-1.25]\'',yes,'\'(3.8-5.7]\'',yes,'\'(51.6-57.8]\'','\'(0.82-0.91]\'','\'(116-128]\'',2,'\'(8-10]\'','\'(588-784]\'','\'(649.8-799.6]\'','\'(-inf-630.2]\'','\'(7.8-9.2]\'','\'(-inf-1.8]\'','\'(5.6-7.4]\'',yes,no,yes,0,cluster0
972,'\'(1249.5-1399.2]\'',no,'\'(0.75-1]\'',no,'\'(5.7-7.6]\'',yes,'\'(51.6-57.8]\'','\'(0.73-0.82]\'','\'(-inf-92]\'',4,'\'(10-12]\'','\'(392-588]\'','\'(1249-1398.8]\'','\'(3249.6-3623.8]\'','\'(17.6-inf)\'','\'(5.4-7.2]\'','\'(7.4-9.2]\'',yes,yes,no,1,cluster0
973,'\'(-inf-650.7]\'',yes,'\'(-inf-0.75]\'',yes,'\'(-inf-1.9]\'',no,'\'(26.8-33]\'','\'(0.82-0.91]\'','\'(128-140]\'',1,'\'(10-12]\'','\'(-inf-196]\'','\'(649.8-799.6]\'','\'(3623.8-inf)\'','\'(16.2-17.6]\'','\'(12.6-14.4]\'','\'(14.6-16.4]\'',no,no,no,0,cluster0
974,'\'(650.7-800.4]\'',yes,'\'(-inf-0.75]\'',yes,'\'(-inf-1.9]\'',no,'\'(51.6-57.8]\'','\'(0.82-0.91]\'','\'(92-104]\'',4,'\'(10-12]\'','\'(392-588]\'','\'(1099.2-1249]\'','\'(630.2-1004.4]\'','\'(16.2-17.6]\'','\'(7.2-9]\'','\'(12.8-14.6]\'',no,no,no,0,cluster1
975,'\'(800.4-950.1]\'',yes,'\'(-inf-0.75]\'',no,'\'(-inf-1.9]\'',yes,'\'(45.4-51.6]\'','\'(0.37-0.46]\'','\'(92-104]\'',1,'\'(16-18]\'','\'(588-784]\'','\'(1698.4-1848.2]\'','\'(1004.4-1378.6]\'','\'(10.6-12]\'','\'(1.8-3.6]\'','\'(7.4-9.2]\'',yes,no,yes,0,cluster1
976,'\'(1698.6-1848.3]\'',no,'\'(-inf-0.75]\'',no,'\'(-inf-1.9]\'',yes,'\'(20.6-26.8]\'','\'(0.46-0.55]\'','\'(92-104]\'',6,'\'(10-12]\'','\'(980-1176]\'','\'(1398.8-1548.6]\'','\'(3623.8-inf)\'','\'(17.6-inf)\'','\'(5.4-7.2]\'','\'(12.8-14.6]\'',yes,no,no,1,cluster0
977,'\'(1099.8-1249.5]\'',yes,'\'(2.25-2.5]\'',no,'\'(3.8-5.7]\'',yes,'\'(57.8-inf)\'','\'(-inf-0.19]\'','\'(128-140]\'',5,'\'(12-14]\'','\'(-inf-196]\'','\'(1249-1398.8]\'','\'(1004.4-1378.6]\'','\'(16.2-17.6]\'','\'(-inf-1.8]\'','\'(14.6-16.4]\'',yes,no,no,0,cluster1
978,'\'(1249.5-1399.2]\'',no,'\'(-inf-0.75]\'',no,'\'(3.8-5.7]\'',no,'\'(57.8-inf)\'','\'(0.28-0.37]\'','\'(-inf-92]\'',2,'\'(4-6]\'','\'(1568-1764]\'','\'(1848.2-inf)\'','\'(2875.4-3249.6]\'','\'(17.6-inf)\'','\'(1.8-3.6]\'','\'(16.4-18.2]\'',no,yes,yes,1,cluster0
979,'\'(1848.3-inf)\'',yes,'\'(2.25-2.5]\'',yes,'\'(1.9-3.8]\'',yes,'\'(45.4-51.6]\'','\'(0.73-0.82]\'','\'(-inf-92]\'',5,'\'(8-10]\'','\'(196-392]\'','\'(1698.4-1848.2]\'','\'(1378.6-1752.8]\'','\'(6.4-7.8]\'','\'(3.6-5.4]\'','\'(18.2-inf)\'',yes,no,no,0,cluster1
980,'\'(1548.9-1698.6]\'',no,'\'(2.25-2.5]\'',no,'\'(9.5-11.4]\'',no,'\'(33-39.2]\'','\'(0.37-0.46]\'','\'(-inf-92]\'',1,'\'(12-14]\'','\'(-inf-196]\'','\'(1548.6-1698.4]\'','\'(630.2-1004.4]\'','\'(14.8-16.2]\'','\'(9-10.8]\'','\'(7.4-9.2]\'',no,yes,no,0,cluster1
981,'\'(950.1-1099.8]\'',yes,'\'(2.75-inf)\'',yes,'\'(-inf-1.9]\'',yes,'\'(57.8-inf)\'','\'(0.19-0.28]\'','\'(92-104]\'',8,'\'(-inf-2]\'','\'(196-392]\'','\'(949.4-1099.2]\'','\'(3623.8-inf)\'','\'(16.2-17.6]\'','\'(10.8-12.6]\'','\'(7.4-9.2]\'',yes,yes,yes,1,cluster0
982,'\'(950.1-1099.8]\'',no,'\'(-inf-0.75]\'',yes,'\'(1.9-3.8]\'',yes,'\'(39.2-45.4]\'','\'(0.46-0.55]\'','\'(92-104]\'',3,'\'(2-4]\'','\'(196-392]\'','\'(1848.2-inf)\'','\'(3249.6-3623.8]\'','\'(13.4-14.8]\'','\'(3.6-5.4]\'','\'(11-12.8]\'',yes,yes,no,1,cluster1
983,'\'(1099.8-1249.5]\'',yes,'\'(1.25-1.5]\'',no,'\'(1.9-3.8]\'',no,'\'(14.4-20.6]\'','\'(0.28-0.37]\'','\'(152-164]\'',7,'\'(8-10]\'','\'(784-980]\'','\'(1249-1398.8]\'','\'(1752.8-2127]\'','\'(7.8-9.2]\'','\'(3.6-5.4]\'','\'(7.4-9.2]\'',yes,yes,no,0,cluster1
984,'\'(1249.5-1399.2]\'',yes,'\'(-inf-0.75]\'',yes,'\'(-inf-1.9]\'',yes,'\'(8.2-14.4]\'','\'(0.19-0.28]\'','\'(-inf-92]\'',4,'\'(-inf-2]\'','\'(784-980]\'','\'(1548.6-1698.4]\'','\'(-inf-630.2]\'','\'(13.4-14.8]\'','\'(7.2-9]\'','\'(12.8-14.6]\'',yes,no,yes,0,cluster0
985,'\'(950.1-1099.8]\'',no,'\'(-inf-0.75]\'',yes,'\'(7.6-9.5]\'',no,'\'(45.4-51.6]\'','\'(0.46-0.55]\'','\'(116-128]\'',4,'\'(14-16]\'','\'(1372-1568]\'','\'(1848.2-inf)\'','\'(-inf-630.2]\'','\'(10.6-12]\'','\'(7.2-9]\'','\'(5.6-7.4]\'',yes,yes,no,0,cluster0
986,'\'(1698.6-1848.3]\'',no,'\'(2.75-inf)\'',yes,'\'(3.8-5.7]\'',yes,'\'(14.4-20.6]\'','\'(0.82-0.91]\'','\'(92-104]\'',7,'\'(16-18]\'','\'(196-392]\'','\'(799.6-949.4]\'','\'(630.2-1004.4]\'','\'(10.6-12]\'','\'(9-10.8]\'','\'(9.2-11]\'',yes,no,no,0,cluster1
987,'\'(1548.9-1698.6]\'',no,'\'(2.25-2.5]\'',no,'\'(-inf-1.9]\'',yes,'\'(20.6-26.8]\'','\'(0.19-0.28]\'','\'(164-176]\'',7,'\'(-inf-2]\'','\'(588-784]\'','\'(799.6-949.4]\'','\'(3623.8-inf)\'','\'(16.2-17.6]\'','\'(12.6-14.4]\'','\'(7.4-9.2]\'',yes,yes,yes,1,cluster0
988,'\'(1399.2-1548.9]\'',yes,'\'(-inf-0.75]\'',yes,'\'(3.8-5.7]\'',yes,'\'(39.2-45.4]\'','\'(0.37-0.46]\'','\'(92-104]\'',5,'\'(4-6]\'','\'(1764-inf)\'','\'(1848.2-inf)\'','\'(2875.4-3249.6]\'','\'(16.2-17.6]\'','\'(7.2-9]\'','\'(14.6-16.4]\'',yes,no,yes,1,cluster1
989,'\'(-inf-650.7]\'',yes,'\'(-inf-0.75]\'',no,'\'(9.5-11.4]\'',no,'\'(8.2-14.4]\'','\'(0.37-0.46]\'','\'(-inf-92]\'',5,'\'(12-14]\'','\'(392-588]\'','\'(799.6-949.4]\'','\'(1752.8-2127]\'','\'(9.2-10.6]\'','\'(3.6-5.4]\'','\'(14.6-16.4]\'',yes,yes,yes,0,cluster0
990,'\'(1399.2-1548.9]\'',yes,'\'(2.5-2.75]\'',yes,'\'(11.4-13.3]\'',no,'\'(14.4-20.6]\'','\'(0.55-0.64]\'','\'(140-152]\'',7,'\'(18-inf)\'','\'(196-392]\'','\'(1548.6-1698.4]\'','\'(1378.6-1752.8]\'','\'(7.8-9.2]\'','\'(3.6-5.4]\'','\'(18.2-inf)\'',no,no,no,0,cluster1
991,'\'(800.4-950.1]\'',yes,'\'(1.5-1.75]\'',yes,'\'(11.4-13.3]\'',no,'\'(45.4-51.6]\'','\'(0.46-0.55]\'','\'(176-188]\'',7,'\'(16-18]\'','\'(196-392]\'','\'(1398.8-1548.6]\'','\'(1752.8-2127]\'','\'(16.2-17.6]\'','\'(1.8-3.6]\'','\'(16.4-18.2]\'',yes,no,no,0,cluster1
992,'\'(950.1-1099.8]\'',no,'\'(1.25-1.5]\'',yes,'\'(3.8-5.7]\'',no,'\'(26.8-33]\'','\'(-inf-0.19]\'','\'(-inf-92]\'',4,'\'(14-16]\'','\'(1568-1764]\'','\'(1848.2-inf)\'','\'(1004.4-1378.6]\'','\'(-inf-6.4]\'','\'(-inf-1.8]\'','\'(9.2-11]\'',no,yes,no,0,cluster0
993,'\'(650.7-800.4]\'',yes,'\'(-inf-0.75]\'',no,'\'(9.5-11.4]\'',no,'\'(-inf-8.2]\'','\'(0.28-0.37]\'','\'(-inf-92]\'',6,'\'(14-16]\'','\'(980-1176]\'','\'(1249-1398.8]\'','\'(-inf-630.2]\'','\'(6.4-7.8]\'','\'(5.4-7.2]\'','\'(18.2-inf)\'',no,yes,no,0,cluster1
994,'\'(800.4-950.1]\'',no,'\'(1.25-1.5]\'',no,'\'(13.3-15.2]\'',no,'\'(39.2-45.4]\'','\'(0.82-0.91]\'','\'(176-188]\'',6,'\'(14-16]\'','\'(-inf-196]\'','\'(-inf-649.8]\'','\'(-inf-630.2]\'','\'(10.6-12]\'','\'(5.4-7.2]\'','\'(5.6-7.4]\'',yes,yes,yes,0,cluster0
995,'\'(1399.2-1548.9]\'',no,'\'(1.5-1.75]\'',yes,'\'(3.8-5.7]\'',no,'\'(45.4-51.6]\'','\'(0.19-0.28]\'','\'(188-inf)\'',3,'\'(18-inf)\'','\'(1176-1372]\'','\'(1398.8-1548.6]\'','\'(3623.8-inf)\'','\'(10.6-12]\'','\'(10.8-12.6]\'','\'(14.6-16.4]\'',yes,yes,no,1,cluster0
996,'\'(650.7-800.4]\'',no,'\'(-inf-0.75]\'',yes,'\'(1.9-3.8]\'',yes,'\'(8.2-14.4]\'','\'(0.46-0.55]\'','\'(176-188]\'',2,'\'(8-10]\'','\'(1372-1568]\'','\'(1698.4-1848.2]\'','\'(2875.4-3249.6]\'','\'(7.8-9.2]\'','\'(5.4-7.2]\'','\'(-inf-3.8]\'',yes,yes,yes,0,cluster0
997,'\'(950.1-1099.8]\'',no,'\'(-inf-0.75]\'',yes,'\'(-inf-1.9]\'',yes,'\'(14.4-20.6]\'','\'(0.82-0.91]\'','\'(188-inf)\'',8,'\'(8-10]\'','\'(196-392]\'','\'(799.6-949.4]\'','\'(1004.4-1378.6]\'','\'(17.6-inf)\'','\'(10.8-12.6]\'','\'(11-12.8]\'',yes,yes,no,0,cluster0
998,'\'(1249.5-1399.2]\'',yes,'\'(1.75-2]\'',yes,'\'(-inf-1.9]\'',yes,'\'(26.8-33]\'','\'(0.82-0.91]\'','\'(140-152]\'',6,'\'(10-12]\'','\'(1176-1372]\'','\'(1249-1398.8]\'','\'(2501.2-2875.4]\'','\'(14.8-16.2]\'','\'(1.8-3.6]\'','\'(5.6-7.4]\'',yes,yes,yes,1,cluster0
999,'\'(1698.6-1848.3]\'',yes,'\'(2.75-inf)\'',no,'\'(1.9-3.8]\'',no,'\'(14.4-20.6]\'','\'(0.55-0.64]\'','\'(176-188]\'',6,'\'(4-6]\'','\'(392-588]\'','\'(-inf-649.8]\'','\'(3623.8-inf)\'','\'(-inf-6.4]\'','\'(-inf-1.8]\'','\'(5.6-7.4]\'',no,yes,yes,1,cluster0
1000,'\'(-inf-650.7]\'',no,'\'(0.75-1]\'',no,'\'(1.9-3.8]\'',yes,'\'(26.8-33]\'','\'(-inf-0.19]\'','\'(128-140]\'',5,'\'(2-4]\'','\'(980-1176]\'','\'(1249-1398.8]\'','\'(2875.4-3249.6]\'','\'(14.8-16.2]\'','\'(3.6-5.4]\'','\'(3.8-5.6]\'',yes,yes,yes,0,cluster0
1001,'\'(1399.2-1548.9]\'',no,'\'(2.5-2.75]\'',yes,'\'(3.8-5.7]\'',no,'\'(51.6-57.8]\'','\'(0.46-0.55]\'','\'(116-128]\'',2,'\'(10-12]\'','\'(588-784]\'','\'(-inf-649.8]\'','\'(630.2-1004.4]\'','\'(10.6-12]\'','\'(3.6-5.4]\'','\'(14.6-16.4]\'',no,yes,yes,0,cluster0
1002,'\'(-inf-650.7]\'',yes,'\'(-inf-0.75]\'',yes,'\'(11.4-13.3]\'',no,'\'(45.4-51.6]\'','\'(-inf-0.19]\'','\'(164-176]\'',3,'\'(14-16]\'','\'(-inf-196]\'','\'(-inf-649.8]\'','\'(1378.6-1752.8]\'','\'(7.8-9.2]\'','\'(5.4-7.2]\'','\'(7.4-9.2]\'',yes,no,no,0,cluster1
1003,'\'(1399.2-1548.9]\'',yes,'\'(-inf-0.75]\'',yes,'\'(1.9-3.8]\'',no,'\'(45.4-51.6]\'','\'(0.28-0.37]\'','\'(-inf-92]\'',7,'\'(10-12]\'','\'(980-1176]\'','\'(1698.4-1848.2]\'','\'(-inf-630.2]\'','\'(16.2-17.6]\'','\'(-inf-1.8]\'','\'(11-12.8]\'',yes,no,yes,0,cluster1
1004,'\'(950.1-1099.8]\'',yes,'\'(-inf-0.75]\'',no,'\'(13.3-15.2]\'',no,'\'(51.6-57.8]\'','\'(0.91-inf)\'','\'(128-140]\'',8,'\'(18-inf)\'','\'(196-392]\'','\'(649.8-799.6]\'','\'(2875.4-3249.6]\'','\'(10.6-12]\'','\'(5.4-7.2]\'','\'(7.4-9.2]\'',yes,no,no,0,cluster1
1005,'\'(1249.5-1399.2]\'',yes,'\'(2.25-2.5]\'',no,'\'(-inf-1.9]\'',no,'\'(57.8-inf)\'','\'(0.46-0.55]\'','\'(92-104]\'',5,'\'(-inf-2]\'','\'(1372-1568]\'','\'(1698.4-1848.2]\'','\'(3249.6-3623.8]\'','\'(12-13.4]\'','\'(3.6-5.4]\'','\'(14.6-16.4]\'',no,no,yes,1,cluster0
1006,'\'(800.4-950.1]\'',no,'\'(-inf-0.75]\'',yes,'\'(9.5-11.4]\'',no,'\'(8.2-14.4]\'','\'(0.28-0.37]\'','\'(152-164]\'',1,'\'(14-16]\'','\'(196-392]\'','\'(-inf-649.8]\'','\'(1004.4-1378.6]\'','\'(7.8-9.2]\'','\'(3.6-5.4]\'','\'(16.4-18.2]\'',yes,no,no,0,cluster1
1007,'\'(1848.3-inf)\'',yes,'\'(0.75-1]\'',no,'\'(15.2-17.1]\'',yes,'\'(33-39.2]\'','\'(-inf-0.19]\'','\'(152-164]\'',2,'\'(16-18]\'','\'(980-1176]\'','\'(1698.4-1848.2]\'','\'(630.2-1004.4]\'','\'(17.6-inf)\'','\'(1.8-3.6]\'','\'(-inf-3.8]\'',yes,no,yes,0,cluster1
1008,'\'(1848.3-inf)\'',no,'\'(1.25-1.5]\'',yes,'\'(1.9-3.8]\'',no,'\'(26.8-33]\'','\'(0.37-0.46]\'','\'(164-176]\'',8,'\'(4-6]\'','\'(980-1176]\'','\'(1249-1398.8]\'','\'(2501.2-2875.4]\'','\'(7.8-9.2]\'','\'(1.8-3.6]\'','\'(5.6-7.4]\'',no,no,no,1,cluster1
1009,'\'(1848.3-inf)\'',no,'\'(2-2.25]\'',no,'\'(3.8-5.7]\'',no,'\'(45.4-51.6]\'','\'(0.28-0.37]\'','\'(152-164]\'',5,'\'(6-8]\'','\'(392-588]\'','\'(1548.6-1698.4]\'','\'(1004.4-1378.6]\'','\'(10.6-12]\'','\'(-inf-1.8]\'','\'(12.8-14.6]\'',yes,no,no,0,cluster1
1010,'\'(650.7-800.4]\'',no,'\'(-inf-0.75]\'',no,'\'(3.8-5.7]\'',no,'\'(14.4-20.6]\'','\'(0.82-0.91]\'','\'(164-176]\'',4,'\'(16-18]\'','\'(784-980]\'','\'(1848.2-inf)\'','\'(2501.2-2875.4]\'','\'(14.8-16.2]\'','\'(1.8-3.6]\'','\'(3.8-5.6]\'',no,no,yes,0,cluster0
1011,'\'(650.7-800.4]\'',no,'\'(2.5-2.75]\'',yes,'\'(5.7-7.6]\'',no,'\'(-inf-8.2]\'','\'(-inf-0.19]\'','\'(92-104]\'',2,'\'(8-10]\'','\'(588-784]\'','\'(1398.8-1548.6]\'','\'(630.2-1004.4]\'','\'(12-13.4]\'','\'(5.4-7.2]\'','\'(16.4-18.2]\'',no,yes,yes,0,cluster0
1012,'\'(-inf-650.7]\'',yes,'\'(1.25-1.5]\'',no,'\'(-inf-1.9]\'',yes,'\'(51.6-57.8]\'','\'(0.64-0.73]\'','\'(128-140]\'',3,'\'(-inf-2]\'','\'(392-588]\'','\'(649.8-799.6]\'','\'(1004.4-1378.6]\'','\'(14.8-16.2]\'','\'(9-10.8]\'','\'(5.6-7.4]\'',yes,no,yes,0,cluster0
